name;type;url;contribution;status;ok;final_url;title;description;signals;machine_extractable_hint;error;checked_at
Citroen Maroc;official_importer;https://www.citroen.ma/;official_models_prices_versions;200;true;https://www.citroen.ma/;"Achat de voitures neuves et d&#39;occasion| Automobile | Citroën Maroc";"Citadine, SUV ou familiale? Découvrez la gamme de véhicules de Citroën Maroc ainsi que les offres et services après-vente Citroën pour entretenir votre voiture.";prix|modeles|versions|vehicles|occasion|new;yes;;2026-06-12T14:32:35.212Z
Opel Maroc;official_importer;https://www.opel.ma/;official_models_prices_versions;200;true;https://www.opel.ma/fr/;Accueil - Constructeur Automobile | Opel Maroc;"Opel Maroc. Explorez l&#39;intégralité de la gamme Opel. Téléchargez la brochure avec les dernières offres sur l&#39;ensemble des véhicules.";prix|versions|vehicles|new;yes;;2026-06-12T14:32:35.702Z
Fiat Maroc;official_importer;https://www.fiat.ma/;official_models_prices_versions;200;true;https://www.fiat.ma/;Achat de voitures neuves | Fiat Maroc;"Bienvenue sur le site officiel Fiat. Découvrez notre gamme de citadines, berlines et crossover et profitez de nos offres du moment sur Fiat.ma.";prix|modeles|versions|vehicles|new;yes;;2026-06-12T14:32:36.212Z
Jeep Maroc;official_importer;https://www.jeep.ma/;official_models_prices_versions;200;true;https://www.jeep.com/ma/index.html;Jeep® - La marque légendaire des SUV | Jeep® MA;"Découvrez la gamme de SUV Jeep®, les nouveautés, les offres et les services. Réservez un essai ou demandez un devis en ligne.";prix|modeles|versions|vehicles|new;yes;;2026-06-12T14:32:37.174Z
DS Automobiles Maroc;official_importer;https://www.dsautomobiles.ma/;official_models_prices_versions;200;true;https://www.dsautomobiles.ma/;DS Automobiles : Voitures haut de gamme françaises;"DS Automobiles vous propose ses voitures d&#39;avant-garde. Conçues avec tout le savoir-faire français, elles allient performance, design et technologie sur mesure";modeles|versions|vehicles|occasion;unknown;;2026-06-12T14:32:37.772Z
Kia Maroc;official_importer;https://www.kia.com/ma/;official_models_prices_versions;200;true;https://www.kia.ma/;"Kia Maroc l Citadines, Berlines, SUV et Monospaces | Kia Maroc";"Découvrez la vaste gamme de modèles Kia, des citadines, des berlines, des véhicules hybrides, des SUV et monospaces.";prix|modeles|versions|vehicles|occasion|new;yes;;2026-06-12T14:32:39.139Z
Hyundai Maroc;official_importer;https://www.hyundai.ma/;official_models_prices_versions;200;true;https://www.hyundai.com/ma/fr;"Hyundai Maroc - Berline, SUV, Voiture Électrique &amp; Hybride";"Bienvenue sur le site Web officiel de Hyundai Maroc. Découvrez les derniers modèles Hyundai en détail, trouvez votre concessionnaire et réservez un essai.";prix|modeles|versions|vehicles|new;yes;;2026-06-12T14:32:40.094Z
Toyota Maroc;official_importer;https://www.toyota.ma/;official_models_prices_versions;;false;;;;;unknown;fetch failed;2026-06-12T14:32:40.778Z
Volkswagen Maroc;official_importer;https://www.volkswagen.co.ma/;official_models_prices_versions;;false;;;;;unknown;fetch failed;2026-06-12T14:32:41.326Z
Audi Maroc;official_importer;https://www.audi.co.ma/;official_models_prices_versions;;false;;;;;unknown;fetch failed;2026-06-12T14:32:51.629Z
BMW Maroc;official_importer;https://www.bmw.ma/fr/index.html;official_models_prices_versions;;false;;;;;unknown;This operation was aborted;2026-06-12T14:33:03.631Z
Mercedes-Benz Maroc;official_importer;https://www.mercedes-benz.ma/;official_models_prices_versions;200;true;https://www.mercedes-benz.ma/;Mercedes-Benz Maroc I Site Officiel;"Bienvenue sur le site officiel de Mercedes-Benz Maroc. Découvrez nos gammes : compactes, berlines, SUV, coupés. Télécharger une brochure, réserver un test drive ou acheter en ligne.";prix|modeles|vehicles|occasion|new;yes;;2026-06-12T14:33:04.087Z
Nissan Maroc;official_importer;https://www.nissan.ma/;official_models_prices_versions;200;true;https://www.nissan.ma/;nissan.ma - Coming Soon;;;unknown;;2026-06-12T14:33:04.397Z
Ford Maroc;official_importer;https://www.ford.ma/;official_models_prices_versions;;false;;;;;unknown;fetch failed;2026-06-12T14:33:04.593Z
Honda Maroc;official_importer;https://www.honda-maroc.com/;official_models_prices_versions;;false;;;;;unknown;fetch failed;2026-06-12T14:33:04.664Z
Suzuki Maroc;official_importer;https://www.suzuki.ma/;official_models_prices_versions;;false;;;;;unknown;fetch failed;2026-06-12T14:33:04.852Z
Mazda Maroc;official_importer;https://www.mazda.ma/;official_models_prices_versions;200;true;https://www.mazda.ma/;;;;unknown;;2026-06-12T14:33:05.544Z
Mitsubishi Motors Maroc;official_importer;https://www.mitsubishi-motors.ma/;official_models_prices_versions;200;true;https://www.mitsubishi-motors.ma/;| Mitsubishi Motors;;versions|new;yes;;2026-06-12T14:33:06.339Z
Skoda Maroc;official_importer;https://www.skoda.ma/;official_models_prices_versions;200;true;https://www.skoda.ma/;"&#352;KODA Maroc - &#352;KODA";"Prendre un rendez-vous &#183; R&#233;seau &#183; Brochures et Tarifs. + more results. Show all. Nos mod&#232;les. Fabia &#183; Octavia &#183; SUPERB &#183; KAROQ &#183; KODIAQ &#183; KAMIQ &#183; SCALA";modeles|versions|vehicles|new;yes;;2026-06-12T14:33:06.833Z
Seat Maroc;official_importer;https://www.seat.ma/;official_models_prices_versions;200;true;https://www.seat.ma/;SEAT MAROC;"Vous cherchez une voiture qui vous ressemble ? Chez SEAT Maroc, on a de quoi vous surprendre. Ibiza, Leon, Ateca... Et si vous veniez essayer ?";modeles|versions|vehicles|new;yes;;2026-06-12T14:33:07.113Z
CUPRA Maroc;official_importer;https://www.cupraofficial.ma/;official_models_prices_versions;200;true;https://www.cupraofficial.ma/;A New Generation of E-Hybrid and Electric Cars | CUPRA;"Discover CUPRA&#39;s new cars. The perfect blend of electrification and automotive sportiness, designed to challenge the conventional.";modeles|vehicles|new;unknown;;2026-06-12T14:33:07.402Z
Land Rover Maroc;official_importer;https://www.landrover.ma/;official_models_prices_versions;;false;;;;;unknown;fetch failed;2026-06-12T14:33:07.562Z
Jaguar Maroc;official_importer;https://www.jaguar.ma/;official_models_prices_versions;;false;;;;;unknown;fetch failed;2026-06-12T14:33:07.793Z
Volvo Cars Maroc;official_importer;https://www.volvocars.com/ma/;official_models_prices_versions;403;false;https://www.volvocars.com/ma/;Access Denied;;;unknown;;2026-06-12T14:33:08.398Z
Porsche Maroc;official_importer;https://www.porsche.com/middle-east/_morocco_/;official_models_prices_versions;404;false;https://www.porsche.com/middle-east/_morocco_/;Page Not Found – 404;;;unknown;;2026-06-12T14:33:09.681Z
BYD Maroc;official_importer;https://www.bydauto.ma/;official_models_prices_versions;;false;;;;;unknown;fetch failed;2026-06-12T14:33:11.384Z
MG Maroc;official_importer;https://www.mg.ma/;official_models_prices_versions;;false;;;;;unknown;fetch failed;2026-06-12T14:33:11.524Z
Geely Maroc;official_importer;https://www.geely.ma/;official_models_prices_versions;200;true;https://www.geely.ma/;;;;yes;;2026-06-12T14:33:11.800Z
Chery Maroc;official_importer;https://www.chery.ma/;official_models_prices_versions;200;true;https://www.chery.ma/;CHERY;CHERY;modeles|vehicles|occasion|new;unknown;;2026-06-12T14:33:12.789Z
Changan Maroc;official_importer;https://www.changan.ma/;official_models_prices_versions;200;true;https://www.changan.ma/;ACCUEIL | Changan;"Fondée à Shanghai en 1862, Chang&#x27;an Automobile est un fabricant d&#x27;engins militaires reconverti en constructeur automobile depuis 1957, qui s&#x27;est spécialisée dans les utilitaires légers. Elle a été renommée ChangAn Auto en 1997 après avoir fusionné avec Jialing en 1995.";vehicles;unknown;;2026-06-12T14:33:13.127Z
GWM Maroc;official_importer;https://www.gwm.ma/;official_models_prices_versions;200;true;https://gwm.ma/;دليل ويب المغرب - gwm;الدليل الشامل للمواطنين المغاربة حول الخدمات الحكومية والإجراءات الرسمية.;;yes;;2026-06-12T14:33:17.821Z
OMODA Maroc;official_importer;https://www.omoda.ma/;official_models_prices_versions;;false;;;;;unknown;fetch failed;2026-06-12T14:33:17.893Z
JAECOO Maroc;official_importer;https://www.jaecoo.ma/;official_models_prices_versions;200;true;https://www.jaecoo.ma/;CFAO Mobility - Jaecoo Maroc;Bienvenue sur le site officiel de CFAO Mobility JAECOO Maroc - Jaecoo reflète un engagement envers la technologie futuriste et le respect de l;modeles|versions|vehicles|new;yes;;2026-06-12T14:33:18.674Z
JETOUR Maroc;official_importer;https://www.jetour.ma/;official_models_prices_versions;;false;;;;;unknown;fetch failed;2026-06-12T14:33:20.389Z
KGM Maroc;official_importer;https://www.kgm.ma/;official_models_prices_versions;;false;;;;;unknown;fetch failed;2026-06-12T14:33:20.560Z
Lexus Maroc;official_importer;https://www.lexus.ma/;official_models_prices_versions;200;true;https://www.lexus.ma/;Bienvenue sur le site de Lexus Maroc.;Explorez notre gamme de véhicules et découvrez la technologie Lexus Hybrid Drive.;prix|modeles|versions|vehicles|occasion;yes;;2026-06-12T14:33:21.318Z
Tesla Morocco;official_reference_import_edge;https://www.tesla.com/en_ma;official_reference_prices_import_edge;403;false;https://www.tesla.com/en_ma;Access Denied;;;unknown;;2026-06-12T14:33:21.447Z
Avito Auto Maroc;used_marketplace;https://www.avito.ma/fr/maroc/voitures;used_market_listings_import_edge_cases;403;false;https://www.avito.ma/fr/maroc/voitures;Just a moment...;;vehicles;unknown;;2026-06-12T14:33:21.574Z
Auto24 Maroc;used_marketplace;https://auto24.ma/;used_market_listings_stock;200;true;https://auto24.ma/;;;;unknown;;2026-06-12T14:33:21.782Z
Kifal Auto used;used_marketplace;https://kifal.ma/;used_market_listings_stock;200;true;https://kifal-auto.ma/;Kifal Auto;Achetez et vendez votre voiture d;prix|modeles|vehicles|occasion|new;yes;;2026-06-12T14:33:22.119Z
Autocaz Maroc;used_marketplace_dealer;https://www.autocaz.ma/;used_market_prices_stock;200;true;https://www.autocaz.ma/;"AUTOCAZ - grand choix de v&#xE9;hicules d&#x27;occasion";"La plateforme digitale du groupe Auto Hall pour l&#x27;achat, la vente et la reprise des v&#xE9;hicules d&#x27;occasion.";versions|vehicles|occasion;yes;;2026-06-12T14:33:22.631Z
