brand;model;generation_code;generation_name;starts_year;ends_year;commercial_name;trim_name;body_style;fuel_type;transmission;fiscal_hp;seats;year_start;year_end;price_min_mad;price_max_mad;annual_mileage_km;source_name;source_url;confidence;notes
Renault;Koleos;koleos-1;Koleos I;2008;2016;2.0 dCi 150;Dynamique;suv;diesel;manual;8;5;2008;2016;75000;150000;17000;Carsablanca historical baseline;curated://historical-morocco-official;0.38;Expanded Morocco used-market baseline
Renault;Trafic;trafic-2;Trafic II;2001;2014;1.9 dCi;Expression;van;diesel;manual;8;9;2001;2014;70000;150000;22000;Carsablanca historical baseline;curated://historical-morocco-official;0.36;Expanded Morocco used-market baseline
Renault;Master;master-2;Master II;2000;2010;2.5 dCi;Fourgon;van;diesel;manual;10;3;2000;2010;65000;140000;25000;Carsablanca historical baseline;curated://historical-morocco-official;0.34;Expanded Morocco used-market baseline
Peugeot;107;107-1;107;2005;2014;1.0;Urban;hatchback;gasoline;manual;5;4;2005;2014;26000;65000;12000;Carsablanca historical baseline;curated://historical-morocco-official;0.38;Expanded Morocco used-market baseline
Peugeot;301;301-1;301;2013;2022;1.6 HDi 92;Active;sedan;diesel;manual;6;5;2013;2022;75000;150000;18000;Carsablanca historical baseline;curated://historical-morocco-official;0.48;Expanded Morocco used-market baseline
Peugeot;307;307-1;307;2001;2008;1.6 HDi 90;Premium;hatchback;diesel;manual;6;5;2004;2008;32000;65000;17000;Carsablanca historical baseline;curated://historical-morocco-official;0.38;Expanded Morocco used-market baseline
Peugeot;407;407-1;407;2004;2010;2.0 HDi 136;Executive;sedan;diesel;manual;8;5;2004;2010;42000;85000;17000;Carsablanca historical baseline;curated://historical-morocco-official;0.38;Expanded Morocco used-market baseline
Peugeot;508;508-1;508 I;2011;2018;1.6 HDi 112;Active;sedan;diesel;manual;6;5;2011;2018;82000;160000;17000;Carsablanca historical baseline;curated://historical-morocco-official;0.42;Expanded Morocco used-market baseline
Peugeot;5008;5008-1;5008 I;2009;2016;1.6 HDi 112;Active;van;diesel;manual;6;7;2009;2016;72000;145000;18000;Carsablanca historical baseline;curated://historical-morocco-official;0.4;Expanded Morocco used-market baseline
Peugeot;Bipper;bipper-1;Bipper;2008;2017;1.3 HDi;Pack;van;diesel;manual;6;5;2008;2017;52000;100000;19000;Carsablanca historical baseline;curated://historical-morocco-official;0.38;Expanded Morocco used-market baseline
Peugeot;Expert;expert-2;Expert II;2007;2016;2.0 HDi;Fourgon;van;diesel;manual;8;3;2007;2016;75000;155000;24000;Carsablanca historical baseline;curated://historical-morocco-official;0.36;Expanded Morocco used-market baseline
Citroen;C1;c1-1;C1 I;2005;2014;1.0i;Attraction;hatchback;gasoline;manual;5;4;2005;2014;24000;60000;12000;Carsablanca historical baseline;curated://historical-morocco-official;0.36;Expanded Morocco used-market baseline
Citroen;C2;c2-1;C2;2003;2009;1.4 HDi;Pack;hatchback;diesel;manual;6;4;2003;2009;26000;54000;15000;Carsablanca historical baseline;curated://historical-morocco-official;0.34;Expanded Morocco used-market baseline
Citroen;C4;c4-1;C4 I;2004;2010;1.6 HDi 92;Pack;hatchback;diesel;manual;6;5;2004;2010;32000;68000;17000;Carsablanca historical baseline;curated://historical-morocco-official;0.38;Expanded Morocco used-market baseline
Citroen;C4;c4-2;C4 II;2011;2018;1.6 HDi 92;Seduction;hatchback;diesel;manual;6;5;2011;2018;65000;125000;17000;Carsablanca historical baseline;curated://historical-morocco-official;0.42;Expanded Morocco used-market baseline
Citroen;C5;c5-1;C5 I;2001;2008;2.0 HDi;Pack;sedan;diesel;manual;8;5;2001;2008;30000;65000;17000;Carsablanca historical baseline;curated://historical-morocco-official;0.34;Expanded Morocco used-market baseline
Citroen;C-Elysee;c-elysee-1;C-Elysee;2013;2021;1.6 HDi 92;Seduction;sedan;diesel;manual;6;5;2013;2021;70000;138000;18000;Carsablanca historical baseline;curated://historical-morocco-official;0.46;Expanded Morocco used-market baseline
Citroen;Xsara Picasso;xsara-picasso-1;Xsara Picasso;2000;2010;1.6 HDi 90;Pack;van;diesel;manual;6;5;2000;2010;26000;65000;17000;Carsablanca historical baseline;curated://historical-morocco-official;0.34;Expanded Morocco used-market baseline
Citroen;Nemo;nemo-1;Nemo;2008;2017;1.4 HDi;Multispace;van;diesel;manual;6;5;2008;2017;50000;98000;19000;Carsablanca historical baseline;curated://historical-morocco-official;0.38;Expanded Morocco used-market baseline
Citroen;Jumpy;jumpy-2;Jumpy II;2007;2016;2.0 HDi;Fourgon;van;diesel;manual;8;3;2007;2016;76000;155000;24000;Carsablanca historical baseline;curated://historical-morocco-official;0.36;Expanded Morocco used-market baseline
Fiat;Panda;panda-2;Panda II;2003;2012;1.2;Dynamic;hatchback;gasoline;manual;6;4;2003;2012;22000;55000;12000;Carsablanca historical baseline;curated://historical-morocco-official;0.36;Expanded Morocco used-market baseline
Fiat;500;500-1;500;2008;2020;1.2;Lounge;hatchback;gasoline;manual;6;4;2008;2020;45000;115000;12000;Carsablanca historical baseline;curated://historical-morocco-official;0.4;Expanded Morocco used-market baseline
Fiat;Grande Punto;grande-punto-1;Grande Punto;2006;2012;1.3 Multijet;Dynamic;hatchback;diesel;manual;6;5;2006;2012;32000;65000;15000;Carsablanca historical baseline;curated://historical-morocco-official;0.38;Expanded Morocco used-market baseline
Fiat;Linea;linea-1;Linea;2007;2015;1.3 Multijet;Emotion;sedan;diesel;manual;6;5;2007;2015;42000;85000;16000;Carsablanca historical baseline;curated://historical-morocco-official;0.38;Expanded Morocco used-market baseline
Fiat;Doblo;doblo-1;Doblo I;2000;2009;1.9 JTD;Dynamic;van;diesel;manual;7;5;2000;2009;30000;70000;19000;Carsablanca historical baseline;curated://historical-morocco-official;0.34;Expanded Morocco used-market baseline
Fiat;Doblo;doblo-2;Doblo II;2010;2021;1.3 Multijet;Easy;van;diesel;manual;6;5;2010;2021;65000;135000;19000;Carsablanca historical baseline;curated://historical-morocco-official;0.42;Expanded Morocco used-market baseline
Fiat;Fiorino;fiorino-3;Fiorino;2008;2021;1.3 Multijet;Pack;van;diesel;manual;6;5;2008;2021;52000;110000;19000;Carsablanca historical baseline;curated://historical-morocco-official;0.38;Expanded Morocco used-market baseline
Fiat;Siena;siena-1;Siena;2000;2009;1.3 Multijet;ELX;sedan;diesel;manual;6;5;2003;2009;24000;50000;16000;Carsablanca historical baseline;curated://historical-morocco-official;0.32;Expanded Morocco used-market baseline
Ford;Fusion;fusion-eu;Fusion;2002;2012;1.4 TDCi;Trend;hatchback;diesel;manual;6;5;2003;2012;28000;68000;15000;Carsablanca historical baseline;curated://historical-morocco-official;0.34;Expanded Morocco used-market baseline
Ford;Mondeo;mondeo-3;Mondeo III;2000;2007;2.0 TDCi;Ghia;sedan;diesel;manual;8;5;2001;2007;32000;70000;17000;Carsablanca historical baseline;curated://historical-morocco-official;0.34;Expanded Morocco used-market baseline
Ford;Mondeo;mondeo-4;Mondeo IV;2008;2014;2.0 TDCi;Titanium;sedan;diesel;manual;8;5;2008;2014;65000;125000;17000;Carsablanca historical baseline;curated://historical-morocco-official;0.38;Expanded Morocco used-market baseline
Ford;C-Max;c-max-1;C-Max I;2003;2010;1.6 TDCi;Trend;van;diesel;manual;6;5;2004;2010;34000;72000;17000;Carsablanca historical baseline;curated://historical-morocco-official;0.34;Expanded Morocco used-market baseline
Ford;Ranger;ranger-pj;Ranger PJ;2007;2011;2.5 TDCi;XLT;pickup;diesel;manual;10;5;2007;2011;85000;150000;22000;Carsablanca historical baseline;curated://historical-morocco-official;0.36;Expanded Morocco used-market baseline
Ford;Ranger;ranger-t6;Ranger T6;2012;2021;2.2 TDCi;XLT;pickup;diesel;manual;9;5;2012;2021;130000;260000;22000;Carsablanca historical baseline;curated://historical-morocco-official;0.42;Expanded Morocco used-market baseline
Ford;Transit Connect;transit-connect-1;Transit Connect I;2002;2013;1.8 TDCi;Fourgon;van;diesel;manual;7;3;2002;2013;45000;105000;23000;Carsablanca historical baseline;curated://historical-morocco-official;0.34;Expanded Morocco used-market baseline
Ford;EcoSport;ecosport-1;EcoSport;2014;2021;1.5 TDCi;Trend;suv;diesel;manual;6;5;2014;2021;85000;150000;16000;Carsablanca historical baseline;curated://historical-morocco-official;0.4;Expanded Morocco used-market baseline
Hyundai;Atos;atos-1;Atos Prime;2000;2008;1.1 MPI;GL;hatchback;gasoline;manual;6;4;2000;2008;18000;45000;12000;Carsablanca historical baseline;curated://historical-morocco-official;0.32;Expanded Morocco used-market baseline
